😀 | grinning_face                      | grinning
😃 | grinning_face_with_big_eyes        | smiley
😄 | grinning_face_with_smiling_eyes    | smile
😁 | beaming_face_with_smiling_eyes     | grin
😆 | grinning_squinting_face            | laughing
😅 | grinning_face_with_sweat           | sweat_smile
🤣 | rolling_on_the_floor_laughing      | rofl
😂 | face_with_tears_of_joy             | joy
😉 | winking_face                       | wink
😊 | smiling_face_with_smiling_eyes     | blush
😇 | smiling_face_with_halo             | innocent
🥰 | smiling_face_with_hearts           | smiling_face_with_three_hearts
😍 | smiling_face_with_heart_eyes       | heart_eyes
😘 | face_blowing_a_kiss                | kissing_heart
😗 | kissing_face                       | kissing
☺️ | smiling_face                       | relaxed
😚 | kissing_face_with_closed_eyes      | kissing_closed_eyes
😙 | kissing_face_with_smiling_eyes     | kissing_smiling_eyes
😋 | face_savoring_food                 | yum
😛 | face_with_tongue                   | stuck_out_tongue
😜 | winking_face_with_tongue           | stuck_out_tongue_winking_eye
😝 | squinting_face_with_tongue         | stuck_out_tongue_closed_eyes
🤗 | smiling_face_with_open_hands       | hugs
🤭 | face_with_hand_over_mouth          | hand_over_mouth
🤔 | thinking_face                      | thinking
🤨 | face_with_raised_eyebrow           | raised_eyebrow
😑 | expressionless_face                | expressionless
😶 | face_without_mouth                 | no_mouth
😏 | smirking_face                      | smirk
😒 | unamused_face                      | unamused
🙄 | face_with_rolling_eyes             | roll_eyes
😬 | grimacing_face                     | grimacing
😌 | relieved_face                      | relieved
😔 | pensive_face                       | pensive
😪 | sleepy_face                        | sleepy
😴 | sleeping_face                      | sleeping
😷 | face_with_medical_mask             | mask
🤮 | face_vomiting                      | vomiting_face
😵 | face_with_crossed_out_eyes         | dizzy_face
😎 | smiling_face_with_sunglasses       | sunglasses
🧐 | face_with_monocle                  | monocle_face
😕 | confused_face                      | confused
😟 | worried_face                       | worried
😮 | face_with_open_mouth               | open_mouth
😯 | hushed_face                        | hushed
😲 | astonished_face                    | astonished
😳 | flushed_face                       | flushed
😦 | frowning_face_with_open_mouth      | frowning
😧 | anguished_face                     | anguished
😨 | fearful_face                       | fearful
😰 | anxious_face_with_sweat            | cold_sweat
😥 | sad_but_relieved_face              | disappointed_relieved
😢 | crying_face                        | cry
😭 | loudly_crying_face                 | sob
😱 | face_screaming_in_fear             | scream
😖 | confounded_face                    | confounded
😣 | persevering_face                   | persevere
😞 | disappointed_face                  | disappointed
😓 | downcast_face_with_sweat           | sweat
😩 | weary_face                         | weary
😤 | face_with_steam_from_nose          | triumph
😡 | enraged_face                       | rage
😠 | angry_face                         | angry
🤬 | face_with_symbols_on_mouth         | cursing_face
😈 | smiling_face_with_horns            | smiling_imp
👿 | angry_face_with_horns              | imp
💩 | pile_of_poo                        | poop
👹 | ogre                               | japanese_ogre
👺 | goblin                             | japanese_goblin
👾 | alien_monster                      | space_invader
😺 | grinning_cat                       | smiley_cat
😸 | grinning_cat_with_smiling_eyes     | smile_cat
😹 | cat_with_tears_of_joy              | joy_cat
😻 | smiling_cat_with_heart_eyes        | heart_eyes_cat
😼 | cat_with_wry_smile                 | smirk_cat
🙀 | weary_cat                          | scream_cat
😿 | crying_cat                         | crying_cat_face
🙈 | see_no_evil_monkey                 | see_no_evil
🙉 | hear_no_evil_monkey                | hear_no_evil
🙊 | speak_no_evil_monkey               | speak_no_evil
💘 | heart_with_arrow                   | cupid
💝 | heart_with_ribbon                  | gift_heart
💗 | growing_heart                      | heartpulse
💓 | beating_heart                      | heartbeat
❣️ | heart_exclamation                  | heavy_heart_exclamation
❤️ | red_heart                          | heart
💋 | kiss_mark                          | kiss
💯 | hundred_points                     | 100
💢 | anger_symbol                       | anger
💥 | collision                          | boom
💦 | sweat_droplets                     | sweat_drops
💨 | dashing_away                       | dash
👁️‍🗨️ | eye_in_speech_bubble               | eye_speech_bubble
👋 | waving_hand                        | wave
🖐️ | hand_with_fingers_splayed          | raised_hand_with_fingers_splayed
✌️ | victory_hand                       | v
🤘 | sign_of_the_horns                  | metal
👈 | backhand_index_pointing_left       | point_left
👉 | backhand_index_pointing_right      | point_right
👆 | backhand_index_pointing_up         | point_up_2
👇 | backhand_index_pointing_down       | point_down
☝️ | index_pointing_up                  | point_up
👍 | thumbs_up                          | thumbsup
👎 | thumbs_down                        | -1
✊ | raised_fist                        | fist
👊 | oncoming_fist                      | punch
🤛 | left_facing_fist                   | fist_left
🤜 | right_facing_fist                  | fist_right
👏 | clapping_hands                     | clap
🙌 | raising_hands                      | raised_hands
🙏 | folded_hands                       | pray
💅 | nail_polish                        | nail_care
💪 | flexed_biceps                      | muscle
👄 | mouth                              | lips
🧑 | person                             | adult
👱 | person_blond_hair                  | blond_haired_person
🧔 | person_beard                       | bearded_person
👨‍🦰 | man_red_hair                       | red_haired_man
👨‍🦱 | man_curly_hair                     | curly_haired_man
👨‍🦳 | man_white_hair                     | white_haired_man
👨‍🦲 | man_bald                           | bald_man
👩‍🦰 | woman_red_hair                     | red_haired_woman
👩‍🦱 | woman_curly_hair                   | curly_haired_woman
